object_name,schema_name,object_type,status,error_message,timestamp
ld_gms_bzfc_cdi_fr_prfr_email_profile,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:54
ld_gms_bzfc_cnst_fr_prfr_em_prfl,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:55
ld_gms_bzfc_donation_rank,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:57
ld_gms_bzfc_fact_ask_cntct_intrctn,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:59
ld_gms_bzfc_fact_email_intrctn_smry,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:00
ld_gms_bzf_cnst_cnstcy,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:02
ld_gms_bzf_cnst_cnstcy_curnt,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:03
ld_gms_bz_pg_group_membrshp,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:05
ld_gms_cnst_behvrl_segmnt,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:06
ld_gms_cnst_cdi_smry_fr_prfr,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:07
ld_gms_cnst_cdi_smry_fr_prfr1,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:09
ld_gms_cnst_cdi_s_f_p_fr_dmail,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:10
ld_gms_cnst_cdi_s_f_p_fr_email,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:11
ld_mbl_dntns_zero_dollar_insert,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:13
ld_pbi_bio_demogrphcs,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:14
ld_pbi_cfremappend,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:16
ld_pbi_entrprs_campgn_non_adb,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:17
ld_pbi_entrprs_campgn_results,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:18
ld_pbi_entrprs_campgn_smry,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:20
ld_pbi_model_perf_dashbrd,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:21
ld_pg_src_convrsn,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:23
ld_srvy_anvrsry_rspns_txt_norm,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:24
ld_srvy_anvrsry_vlntr_rspns_norm,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:25
ld_srvy_anvrsy_vlntr_rspns_all,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:27
ld_srvy_anvrsy_vlntr_rspns_cmnt,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:28
ld_srvy_anvrsy_vlntr_rspns_cmnt_curnt,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:29
ld_srvy_hsptl_respondents,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:31
ld_srvy_hsptl_rspns,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:32
ld_srvy_hsptl_rspns_txt,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:33
ld_srvy_new_anvrsy_vlntr_rspns,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:35
ld_srvy_new_vlntr_rspns_cmnt_curnt,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:36
ld_srvy_new_vlntr_rspns_norm,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:38
ld_srvy_new_vlntr_rspns_txt_norm,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:40
ld_suprsn_ts_cnst,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:41
ld_updt_cnst_mstr_id_updates,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:42
ld_updt_dm_campaign_hist,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:44
sp_adb_arcprefchangefr,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:45
sp_adb_nmsdelivery,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:46
sp_adb_nmstrackingurl,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:48
sp_adb_nmswebapplogrcpdata,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:49
sp_backup_dim_phone_campgn,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:51
sp_backup_dim_phone_script,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:52
updt_email_append_suprsn,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:13:53
