object_name,schema_name,object_type,status,validation_status,validation_error,created_timestamp
ld_bzl_cnst_mstr_fsa_in_primry,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:01:55
ld_bz_arc_fr_smry_atg_first_tm,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:01:57
ld_bz_arc_fr_smry_rco_first_tm,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:01:58
ld_bz_arc_fr_smry_rco_last_donat,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:00
ld_bz_arc_fr_smry_rco_last_sustnr_donat,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:01
ld_bz_cnst_birth_best,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:02
ld_bz_dim_cnst_demographic,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:04
ld_bz_dim_rpt_cell_cd,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:05
ld_bz_dim_treatmnt,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:07
ld_bz_email_src_cd,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:08
ld_bz_fact_response_pg,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:09
ld_bz_gms_arc_fr_txn_segmnt,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:11
ld_bz_google_analytics_txn,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:12
ld_bz_srvy_rgnl_ldrshp,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:14
ld_cnst_cdi_arc_biomed_smry,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:15
ld_cnst_cdi_arc_biomed_txn,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:17
ld_cnst_cdi_bio_preferred_dmail,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:18
ld_cnst_cdi_phss_preferred_dmail,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:20
ld_cnst_cdi_phss_preferred_email,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:22
ld_cnst_cdi_smry_bio_prfr,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:23
ld_cnst_cdi_smry_phss_prfr,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:25
ld_cnst_cdi_smry_vms_prfr,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:27
ld_dim_dm_src_treatmnt_xref,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:32
ld_dim_recipient,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:34
ld_dim_src_2_intrctn_brdg,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:36
ld_dm_response_gplg_stg_match,mktg_ops_tbls,procedure,SUCCESS,N/A,,2025-12-19 13:02:38
