object_name,schema_name,object_type,status,created_timestamp
bz_aprm_email_sent,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:33
bz_aprm_wb_apnd_prfrnc_cntr,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:34
bz_aprm_wb_apnd_unsubs_rplc,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:36
bz_aprm_wb_rplc_fr_prf_cntr_lt,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:37
bz_arc_comm_log,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:39
bz_arc_fr_smry_atg_first_tm,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:40
bz_arc_fr_smry_rco_first_tm,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:41
bz_arc_fr_smry_rco_last_donat,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:43
bz_arc_fr_smry_rco_last_sustnr_donat,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:44
bz_area_code_2_time_zone,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:47
bz_cnst_birth_best,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:49
bz_cnst_birth_pg,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:51
bz_cnst_cnstcy_affn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:52
bz_cnst_fsa_acqstn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:53
bz_cnst_gender_best,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:55
bz_cnst_mstr,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:56
bz_comnictn_src,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:58
bz_cur_mth_bio_donor_freq,mktg_ops_vws,view,SUCCESS,2025-12-09 13:35:59
bz_digital_analytics_txn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:01
bz_dim_appt_typ,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:02
bz_dim_campgn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:03
bz_dim_channel,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:05
bz_dim_cnst_demographic,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:06
bz_dim_delivery,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:08
bz_dim_dm_src_treatmnt_xref,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:09
bz_dim_edrtl_response_period,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:10
bz_dim_email_intrctn_typ,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:12
bz_dim_fund_cd,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:13
bz_dim_operator,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:15
bz_dim_phone_adtnl_reqst,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:16
bz_dim_phone_call_dspstn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:18
bz_dim_rpt_cell_cd,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:22
bz_dim_treatmnt,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:24
bz_dim_zipcodes,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:26
bz_email_src_cd,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:27
bz_fund,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:29
bz_gms_arc_fr_txn_segmnt,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:31
bz_microsites_report,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:35
bz_pg_group_membrshp,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:36
bz_pg_group_ref,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:38
bz_pg_response_log_exclusion,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:39
bz_rr_dm_srccd_aprm_cellcd,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:43
bz_scr,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:44
campgn_prospct_list,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:46
chptr_list_membrshp,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:47
