object_name,schema_name,object_type,status,validation_status,validation_error,created_timestamp
dim_motvtn_clt_matrix,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""data_lab_mktg_tbls.gs_fy21_clt_motivtn_char10_11_norm"" does not exist",2025-12-19 13:10:01
dim_motvtn_gplg_effort,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""data_lab_mktg_tbls.gs_gplg_motvtn_char_8"" does not exist",2025-12-19 13:10:02
dim_motvtn_gplg_scr,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""data_lab_mktg_tbls.gs_gplg_motvtn_char_9_10"" does not exist",2025-12-19 13:10:03
dim_motvtn_gplg_segmnt,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""data_lab_mktg_tbls.gs_gplg_motvtn_char_11_12"" does not exist",2025-12-19 13:10:05
dim_recipient,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:06
dim_src_2_intrctn_brdg,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:08
dim_volunteer,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:12
dv_active_segmnt_snapsht,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:13
dv_digtl_engmnt_scorcrd,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:15
esri_blockgroup_demgrphc,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:16
esri_zip_cd_demgrphc,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:17
fact_atg_order_line,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:19
fact_dmail_interaction,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:20
fact_email_interaction,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:21
fact_interaction_aprm,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,Relation fact_interaction_aprm does not exist in the database.,2025-12-19 13:10:23
fact_vol_applctn,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:24
fresh_address_email_append,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:26
fr_asset_gift_smry,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"schema ""ufds_vws"" does not exist",2025-12-19 13:10:27
geo_zip_code_to_chapter,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:29
gmpbzal_dim_fund,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:30
gmpbzal_dim_src,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation pg_src_convrsn,2025-12-19 13:10:31
gmpbz_chpt_cnst_cnstcy,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:33
gmpbz_cnst_comnictn_email,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:34
gmpbz_dim_arcpg_amt_typ,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:35
gmpbz_dim_arcpg_chan_typ,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:37
gmpbz_dim_arcpg_comnictn_typ,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:38
gmpbz_dim_arcpg_response_typ,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:40
gmpbz_dim_arcpg_src,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:41
gmpbz_dim_comnictn,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:42
gmpbz_dim_dollar_tier,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:45
gmpbz_dim_fund,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:46
gmpbz_dim_giftran_typ,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:49
gmpbz_dim_gift_stg,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:50
gmpbz_dim_gl_fcc,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:51
gmpbz_dim_intrctn_typ,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:53
gmpbz_dim_merchant,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,Relation gms_tbls does not exist in the database.,2025-12-19 13:10:54
gmpbz_dim_pmt_mthd,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:55
gmpbz_dim_prog,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:10:56
gmpbz_dim_rgnrt_reason,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"schema ""ufds_vws"" does not exist",2025-12-19 13:10:58
gmpbz_dim_src,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation pg_src_convrsn,2025-12-19 13:10:59
gmpbz_dim_sustnr_typ,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:01
gmpbz_dim_vendor,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:02
gmpbz_fact_arcpg_cnst_comnictn,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:03
gmpbz_gift_addr,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:05
gmpbz_gift_premium,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:06
gmpbz_gift_sku,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:07
