object_name,schema_name,object_type,status,validation_status,validation_error,created_timestamp
adb_anlytc_hit_tgt_tst,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:31:30
adb_anlytc_hit_tgt_xtrct,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:31:35
adb_arcinsms_report_intermediate,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:31:48
adb_arcregionchaptermapping,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:31:58
adb_bio_dnr_stsfctn_srvy,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:32:07
adb_enumrtn_lkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:32:11
adb_nmspropositionrcp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:32:39
adb_vlntr_srvy_rspns,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:08
adb_vlntr_srvy_rspns_tmp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:10
adb_vlntr_srvy_rspns_v20,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:13
adobe_analytics_txn,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:20
adobe_analytics_visits,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:22
adobe_dwb_intrctn,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:25
adobe_dwb_intrctn_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:29
adobe_dwb_intrctn_stg,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:32
adobe_dwb_intrctn_stg_tmp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:34
adobe_dwb_txn,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:37
adobe_dwb_txn_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:39
adobe_dwb_txn_stg,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:42
agent,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:45
all_aem_rco_rows,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:48
aprm_arc_comm_log,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:51
aprm_audmem_map,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:53
aprm_bncd_eml_img,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:33:56
aprm_email_bncd,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:00
aprm_email_lnk_clkd,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:04
aprm_email_lnk_clkd_img,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:09
aprm_email_opened,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:14
aprm_email_opened_img,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:17
aprm_email_remove,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:19
aprm_email_remove_img,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:22
aprm_email_sent,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:24
aprm_email_sent_img,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:30
aprm_msg_cnt_blk_img,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:32
aprm_msg_content_block,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:34
aprm_wb_apnd_bncd_eml,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:39
aprm_wb_apnd_cell_cds,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:42
aprm_wb_apnd_cm_segmnt,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:44
aprm_wb_apnd_email,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:47
aprm_wb_apnd_eml_trckng,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:49
aprm_wb_apnd_eml_trckng_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:52
aprm_wb_apnd_inbnd_frm_cmpltd,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:55
aprm_wb_apnd_mcrst_mtrcs,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:34:57
aprm_wb_apnd_outbnd_msgs,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:00
aprm_wb_apnd_outbnd_msg_snt,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:02
aprm_wb_apnd_prfrnc_cntr,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:06
aprm_wb_apnd_rmv_frm_lst,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:09
aprm_wb_apnd_segmntn,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:11
aprm_wb_apnd_treatmnts,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:13
arc_aem_rco_txn,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:37
arc_biomed_smry_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:42
arc_biomed_txn_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:46
arc_biomed_txn_ext_staff,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:49
arc_biomed_txn_ext_staff_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:52
arc_cdi_smry_addr_tmp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:54
arc_cdi_smry_email_tmp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:57
arc_cdi_smry_extrct,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:35:59
arc_cdi_smry_phn_tmp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:02
arc_crm_ent_infrd_prfl,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:05
arc_crm_ent_prfl,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:08
arc_fr_smry_extrct,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:11
arc_fr_smry_extrct_tmp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:14
arc_fr_smry_mdl,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:18
arc_fr_txn_all_cnst,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:20
arc_fr_txn_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:23
arc_fr_txn_bnchmrk_extrct,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:26
arc_fr_txn_del,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:28
arc_fr_txn_extrct,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:31
arc_fr_txn_tst,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:34
arc_fundrsng_summary,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:39
arc_glossary,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:45
arc_lob_smry_extrct,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2025-12-19 12:36:48
